"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"JAK3"	"RAF1"	"120"	"0.703198283845181"	"Non-non"
"JAK3"	"MAP2K1"	"121"	"0.70346419820217"	"Non-non"
"JAK3"	"MAP2K2"	"122"	"0.703468698051852"	"Sig-non"
"JAK3"	"MAPK1"	"123"	"0.703581906458704"	"Sig-non"
"JAK3"	"MAPK3"	"124"	"0.703925098533196"	"Sig-non"
"JAK3"	"FOS"	"125"	"0.70431217482883"	"Sig-non"
"JAK3"	"JUN"	"126"	"0.704869587868588"	"Sig-non"
"JAK3"	"PTPN11"	"127"	"0.704920975103391"	"Non-non"
"JAK3"	"PIK3C2A"	"128"	"0.706140962122936"	"Sig-non"
"JAK3"	"PIK3C2B"	"129"	"0.707248340227769"	"Sig-non"
"JAK3"	"PIK3C2G"	"130"	"0.707361072499691"	"Non-non"
"JAK3"	"PIK3C3"	"131"	"0.708038228138249"	"Non-non"
"JAK3"	"PIK3CA"	"132"	"0.708076302112956"	"Non-non"
"JAK3"	"PIK3CB"	"133"	"0.708245573907328"	"Non-non"
"JAK3"	"PIK3CD"	"134"	"0.709306237187625"	"Sig-non"
"JAK3"	"PIK3CG"	"135"	"0.709317127769734"	"Sig-non"
"JAK3"	"PIK3R1"	"136"	"0.71011253004767"	"Sig-non"
"JAK3"	"PIK3R2"	"137"	"0.710216995164476"	"Sig-non"
"JAK3"	"PIK3R3"	"138"	"0.710811454605891"	"Non-non"
"JAK3"	"PIK3R5"	"139"	"0.710812062818467"	"Non-non"
"STAT5A"	"STAT5B"	"140"	"0.710926158575038"	"Sig-sig"
"STAT5A"	"JAK1"	"141"	"0.711011277418482"	"Sig-sig"
"STAT5A"	"SHC1"	"142"	"0.71103414661962"	"Sig-sig"
"STAT5A"	"GRB2"	"143"	"0.711970963098377"	"Sig-non"
"STAT5A"	"SOS1"	"144"	"0.712190953073716"	"Sig-sig"
"STAT5A"	"SOS2"	"145"	"0.712401787199202"	"Sig-sig"
"STAT5A"	"HRAS"	"146"	"0.71346194132583"	"Sig-non"
"STAT5A"	"KRAS"	"147"	"0.713522137193781"	"Sig-sig"
"STAT5A"	"MRAS"	"148"	"0.713524367565387"	"Sig-non"
"STAT5A"	"NRAS"	"149"	"0.713550119873093"	"Sig-sig"
"STAT5A"	"RRAS"	"150"	"0.713987204914852"	"Sig-sig"
"STAT5A"	"RRAS2"	"151"	"0.714003606584939"	"Sig-sig"
"STAT5A"	"RAF1"	"152"	"0.714116121536848"	"Sig-non"
"STAT5A"	"MAP2K1"	"153"	"0.714200960203882"	"Sig-non"
"STAT5A"	"MAP2K2"	"154"	"0.714742559479265"	"Sig-sig"
"STAT5A"	"MAPK1"	"155"	"0.714814864883891"	"Sig-sig"
"STAT5A"	"MAPK3"	"156"	"0.714993695079681"	"Sig-sig"
"STAT5A"	"FOS"	"157"	"0.715203858381007"	"Sig-sig"
"STAT5A"	"JUN"	"158"	"0.71522740106233"	"Sig-sig"
"STAT5A"	"PTPN11"	"159"	"0.715469140531133"	"Sig-non"
"STAT5A"	"PIK3C2A"	"160"	"0.715577648652353"	"Sig-sig"
"STAT5A"	"PIK3C2B"	"161"	"0.716010431527633"	"Sig-sig"
"STAT5A"	"PIK3C2G"	"162"	"0.71626140516605"	"Sig-non"
"STAT5A"	"PIK3C3"	"163"	"0.71631207578453"	"Sig-non"
"STAT5A"	"PIK3CA"	"164"	"0.716414390273098"	"Sig-non"
"STAT5A"	"PIK3CB"	"165"	"0.717953871247598"	"Sig-non"
"STAT5A"	"PIK3CD"	"166"	"0.717993149257368"	"Sig-sig"
"STAT5A"	"PIK3CG"	"167"	"0.718016102683125"	"Sig-sig"
"STAT5A"	"PIK3R1"	"168"	"0.718062255020507"	"Sig-sig"
"STAT5A"	"PIK3R2"	"169"	"0.718284916702689"	"Sig-sig"
"STAT5A"	"PIK3R3"	"170"	"0.718421876312076"	"Sig-non"
